Source IP,Source Port,Destination IP,Destination Port,Protocol
142.250.75.246,443,192.168.122.197,58820,TCP
172.217.171.234,443,192.168.122.197,56406,TCP
142.250.75.246,443,192.168.122.197,58834,TCP
172.217.171.234,443,192.168.122.197,56420,TCP
192.168.122.197,35092,142.250.182.195,443,TCP
142.250.182.195,443,192.168.122.197,35092,TCP
192.168.122.197,34852,142.250.67.237,443,TCP
142.250.67.237,443,192.168.122.197,34852,TCP
192.168.122.197,36280,142.250.192.4,443,TCP
142.250.192.4,443,192.168.122.197,36280,TCP
192.168.122.197,43514,142.250.66.2,443,TCP
142.250.66.2,443,192.168.122.197,43514,TCP
192.168.122.197,52698,142.250.182.195,443,TCP
192.168.122.197,52714,142.250.182.195,443,TCP
142.250.182.195,443,192.168.122.197,52698,TCP
142.250.182.195,443,192.168.122.197,52714,TCP
192.168.122.197,56456,142.250.200.195,443,TCP
192.168.122.197,52728,142.250.182.195,443,TCP
192.168.122.197,56458,142.250.200.195,443,TCP
192.168.122.197,52732,142.250.182.195,443,TCP
192.168.122.197,56468,142.250.200.195,443,TCP
142.250.182.195,443,192.168.122.197,52728,TCP
142.250.182.195,443,192.168.122.197,52732,TCP
192.168.122.197,33742,142.250.183.129,443,TCP
192.168.122.197,33744,142.250.183.129,443,TCP
192.168.122.197,33748,142.250.183.129,443,TCP
192.168.122.197,33762,142.250.183.129,443,TCP
192.168.122.197,33766,142.250.183.129,443,TCP
192.168.122.197,56484,142.250.200.195,443,TCP
142.250.183.129,443,192.168.122.197,33742,TCP
142.250.183.129,443,192.168.122.197,33744,TCP
142.250.183.129,443,192.168.122.197,33748,TCP
142.250.183.129,443,192.168.122.197,33762,TCP
142.250.183.129,443,192.168.122.197,33766,TCP
192.168.122.197,56490,142.250.200.195,443,TCP
192.168.122.197,56500,142.250.200.195,443,TCP
192.168.122.197,56506,142.250.200.195,443,TCP
142.250.200.195,443,192.168.122.197,56456,TCP
192.168.122.197,56508,142.250.200.195,443,TCP
192.168.122.197,59676,142.250.183.195,80,TCP
142.250.183.195,80,192.168.122.197,59676,TCP
142.250.200.195,443,192.168.122.197,56458,TCP
142.250.200.195,443,192.168.122.197,56468,TCP
142.250.200.195,443,192.168.122.197,56484,TCP
142.250.200.195,443,192.168.122.197,56490,TCP
142.250.200.195,443,192.168.122.197,56506,TCP
142.250.200.195,443,192.168.122.197,56500,TCP
142.250.200.195,443,192.168.122.197,56508,TCP
192.168.122.197,38462,142.250.192.4,443,TCP
192.168.122.197,50190,142.250.183.3,443,TCP
142.250.192.4,443,192.168.122.197,38462,TCP
142.250.183.3,443,192.168.122.197,50190,TCP
192.168.122.197,34076,52.223.40.198,443,TCP
52.223.40.198,443,192.168.122.197,34076,TCP
192.168.122.197,33122,18.193.242.26,443,TCP
192.168.122.197,48974,13.107.21.200,443,TCP
13.107.21.200,443,192.168.122.197,48974,TCP
18.193.242.26,443,192.168.122.197,33122,TCP
192.168.122.197,60966,3.37.248.37,443,TCP
3.37.248.37,443,192.168.122.197,60966,TCP
192.168.122.197,46600,103.43.90.117,443,TCP
192.168.122.197,34694,35.213.12.39,443,TCP
192.168.122.197,35572,103.43.89.4,443,TCP
192.168.122.197,32866,23.106.127.164,443,TCP
192.168.122.197,39414,104.118.20.224,443,TCP
192.168.122.197,45800,192.168.122.1,53,TCP
192.168.122.1,53,192.168.122.197,45800,TCP
192.168.122.197,59710,52.223.2.229,443,TCP
192.168.122.197,51048,13.228.126.19,443,TCP
192.168.122.197,36258,180.149.59.147,443,TCP
192.168.122.197,54586,124.146.215.50,443,TCP
192.168.122.197,58534,18.138.28.124,443,TCP
192.168.122.197,33866,52.50.63.74,443,TCP
192.168.122.197,45806,141.226.231.48,443,TCP
52.223.2.229,443,192.168.122.197,59710,TCP
192.168.122.197,35286,202.241.208.2,443,TCP
192.168.122.197,36200,52.193.101.23,443,TCP
180.149.59.147,443,192.168.122.197,36258,TCP
192.168.122.197,42680,35.190.60.146,443,TCP
35.190.60.146,443,192.168.122.197,42680,TCP
13.228.126.19,443,192.168.122.197,51048,TCP
192.168.122.197,39936,66.225.223.95,443,TCP
18.138.28.124,443,192.168.122.197,58534,TCP
192.168.122.197,55390,207.65.33.82,443,TCP
192.168.122.197,43534,108.159.80.98,443,TCP
192.168.122.197,60836,23.108.98.2,443,TCP
52.50.63.74,443,192.168.122.197,33866,TCP
202.241.208.2,443,192.168.122.197,35286,TCP
52.193.101.23,443,192.168.122.197,36200,TCP
35.213.12.39,443,192.168.122.197,34694,TCP
192.168.122.197,54926,180.149.52.211,443,TCP
108.159.80.98,443,192.168.122.197,43534,TCP
207.65.33.82,443,192.168.122.197,55390,TCP
23.106.127.164,443,192.168.122.197,32866,TCP
104.118.20.224,443,192.168.122.197,39414,TCP
180.149.52.211,443,192.168.122.197,54926,TCP
192.168.122.197,53896,54.246.192.162,443,TCP
103.43.90.117,443,192.168.122.197,46600,TCP
124.146.215.50,443,192.168.122.197,54586,TCP
192.168.122.197,50362,23.32.176.28,443,TCP
192.168.122.197,46608,103.43.90.117,443,TCP
192.168.122.197,35576,103.43.89.4,443,TCP
192.168.122.197,48624,13.228.49.244,443,TCP
192.168.122.197,54592,124.146.215.50,443,TCP
192.168.122.197,45820,141.226.231.48,443,TCP
23.32.176.28,443,192.168.122.197,50362,TCP
23.108.98.2,443,192.168.122.197,60836,TCP
66.225.223.95,443,192.168.122.197,39936,TCP
